,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
348,2,0,4,2,5,0,0,1,24,3
349,2,0,4,4,7,1,0,1,7,6
350,2,4,0,4,1,0,0,0,34,6
351,2,4,0,2,1,0,0,1,70,6
352,2,0,0,4,1,0,0,1,22,6
353,2,0,0,4,1,1,0,0,28,6
354,2,0,0,2,1,0,0,1,17,3
355,1,0,0,4,1,1,0,0,67,1
356,3,2,2,4,1,0,0,0,71,6
357,4,4,4,2,1,0,0,1,67,6
358,4,4,4,2,1,0,0,1,22,6
359,2,4,0,4,1,0,0,1,14,4
360,2,4,0,4,1,1,0,1,23,4
361,1,4,0,4,1,2,0,1,19,6
362,1,0,0,4,1,1,0,0,55,1
363,1,4,0,4,1,1,0,0,68,1
364,2,4,0,4,1,0,0,1,79,6
365,2,4,0,4,1,1,0,0,74,6
366,1,4,0,2,1,2,0,1,13,6
367,1,0,0,4,1,1,0,0,3,1
368,2,4,0,2,1,0,1,1,27,3
369,1,4,0,4,1,1,1,0,79,6
370,2,4,0,4,1,0,1,1,13,3
371,2,4,0,2,1,1,0,1,17,1
372,2,4,0,2,1,1,0,1,16,1
373,2,4,0,4,1,0,1,0,33,5
374,1,4,0,2,1,1,0,0,15,6
375,1,4,0,2,1,1,0,0,16,6
376,1,4,0,2,1,1,0,0,17,6
377,2,2,0,2,1,0,0,1,20,6
378,2,2,0,2,1,0,0,1,21,6
379,2,2,4,4,5,0,0,0,34,6
380,1,4,4,4,1,2,0,0,25,6
381,2,0,0,4,1,0,0,0,46,6
382,1,0,0,4,1,2,1,0,19,6
383,2,0,4,4,5,0,0,0,24,6
384,1,0,0,4,1,1,0,1,5,1
385,1,4,0,4,1,2,1,1,20,1
386,2,0,0,4,1,0,0,0,43,6
387,1,4,0,2,1,1,0,1,10,6
388,1,4,0,4,1,2,1,0,3,6
389,1,1,0,2,1,2,1,1,44,2
390,2,0,0,4,1,0,0,1,46,6
391,3,4,4,2,5,1,1,0,44,6
392,2,4,0,2,1,0,0,1,14,5
393,2,4,0,4,1,0,0,1,48,6
394,2,4,0,4,1,0,1,0,26,6
395,1,3,4,0,5,0,0,0,51,6
396,2,4,0,4,1,0,0,1,62,6
397,2,4,0,4,1,1,0,1,19,6
398,2,4,0,4,1,1,0,0,23,6
399,2,4,0,4,1,1,0,0,59,6
400,1,0,4,4,5,1,0,0,49,1
401,1,4,4,4,1,2,1,1,41,2
402,2,4,0,4,1,0,0,0,21,6
403,2,4,0,4,1,1,0,1,23,6
404,2,0,0,4,1,1,0,0,5,6
405,2,0,0,4,1,1,0,1,5,6
406,2,4,0,4,1,0,0,0,29,6
407,2,0,0,4,1,0,0,0,30,6
408,1,0,0,4,1,0,1,1,39,6
409,2,4,0,4,1,0,0,1,23,6
410,2,0,4,2,1,0,0,1,26,6
411,2,0,4,2,1,1,0,1,29,6
412,2,0,4,2,1,0,0,0,26,6
413,1,0,4,4,1,2,1,1,10,6
414,1,4,0,2,1,2,0,1,54,6
415,2,0,0,2,1,0,0,1,33,6
416,1,4,0,4,1,1,0,0,77,1
417,2,4,0,4,1,0,0,0,25,6
